Parasite code,Host ID,Count per voucher,Fish code,Fish species,Organ of infection,Parasite ID,Tinción carmin
Trem.META.GS,159291_01,2,PIMVIG,Pimephales vigilax,Intestine,Bucephalidae gen.sp.,1 metacercaria 
TREM.MET,30602_01,15,PIMVIG,Pimephales vigilax,Connective tissue,Posthodiplostomum minimum minimum,7 metacercarias teñidas
TREM.MET,197731_02,9,PIMVIG,Pimephales vigilax,Connective tissue,Posthodiplostomum minimum minimum,3 metacercarias teñidas
TREM.MEGICT,193706_01,1,ICTPUN,Ictalurus punctatus,Intestine,Megalogonia ictaluri,1 adulto teñido
TREM.MEGICT,160020_01,2,ICTPUN,Ictalurus punctatus,Intestine,Megalogonia ictaluri,1 adulto teñido 
TREM.CM,192995_03,7,HYBNUC,Hybognathus nuchalis,Connective tissue,Posthodiplostomum minimum,1 metacercaria teñida
TREM.CM,156660_01,33,HYBNUC,Hybognathus nuchalis,Connective tissue,Posthodiplostomum minimum,9 metacercarias teñidas
TREM.POS,33223_02,4,GAMAFF,Gambusia affinis,Eye,Posthodiplostomum minimum,1 metacercaria teñida
TREM.POS,148219_02,5,GAMAFF,Gambusia affinis,Eye,Posthodiplostomum minimum,1 metacercaria teñida
TREM.POS,121273_03,7,GAMAFF,Gambusia affinis,Connective tissue,Posthodiplostomum minimum,2 metacercarias teñidas