"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","X.1","Valid.Invalid","notes","combo"
"8",11,"TU","Fish",31617,7,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,6,14,"G.E. Gunning & J. Shireman",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963",NA,"VALID","","control_1954-1963"
"6",90,"TU","Fish",31117,9,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,4,27,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963",NA,"VALID","","control_1954-1963"
"7",10,"TU","Fish",31554,72,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,6,13,"G.E. Gunning & J. Shireman",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963",NA,"VALID","","control_1954-1963"
"1",104,"TU","Fish",31000,10,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 miles E of Hwy. 7 in Bogalusa (left bank).",NA,NA,1963,12,12,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963",NA,"VALID","","control_1954-1963"
"3",99,"TU","Fish",31061,5,"Carpiodes velifer","Catostomidae",NA,NA,30.76222,-89.83111,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at River Mile 53.7, 2.3 miles SE of Bogalusa.",NA,NA,1963,8,30,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963",NA,"maybe","","control_1954-1963"
"9",112,"TU","Fish",33211,5,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,6,11,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973",NA,"VALID","","control_1964-1973"
"17",7,"TU","Fish",79591,4,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek - Fish Stat. #1.",NA,NA,1972,10,17,"B.A. Thompson & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973",NA,"VALID","","control_1964-1973"
"14",152,"TU","Fish",55943,68,"Carpiodes velifer","Catostomidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1969,1,9,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973",NA,"VALID","","control_1964-1973"
"4",107,"TU","Fish",31086,7,"Carpiodes velifer","Catostomidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 miles E of Hwy. 7 in Bogalusa.",NA,NA,1964,2,20,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973",NA,"maybe","","control_1964-1973"
"2",105,"TU","Fish",31028,7,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 miles E of Hwy. 7 in Bogalusa, LA (left bank).",NA,NA,1964,1,17,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973",NA,"maybe","","control_1964-1973"
"18",261,"TU","Fish",112536,21,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank just above Coburn Creek; 1.5 mi. E of Bogalusa.",NA,NA,1979,4,20,"P. Sorensen & S.O. Rohmann",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983",NA,"VALID","","control_1974-1983"
"24",18,"TU","Fish",157850,6,"Carpiodes velifer","Catostomidae",NA,NA,30.76528,-89.83222,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Bogalusa Creek.",NA,NA,1990,4,27,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993",NA,"VALID","","control_1984-1993"
"21",240,"TU","Fish",148202,9,"Carpiodes velifer","Catostomidae",NA,NA,30.77583,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Coburn Creek.",NA,NA,1987,4,2,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993",NA,"VALID","","control_1984-1993"
"26",21,"TU","Fish",159147,10,"Carpiodes velifer","Catostomidae",NA,NA,30.76528,-89.83222,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Bogalusa Creek.",NA,NA,1990,10,19,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993",NA,"VALID","","control_1984-1993"
"27",26,"TU","Fish",160316,5,"Carpiodes velifer","Catostomidae",NA,NA,30.76528,-89.83222,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite mouth Bogalusa Creek.",NA,NA,1991,4,26,"R.D. Suttkus & V. Colbert",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993",NA,"VALID","","control_1984-1993"
"20",225,"TU","Fish",134748,11,"Carpiodes velifer","Catostomidae",NA,NA,30.7675,-89.83028,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank between Coburn & Bogalusa Creeks.",NA,NA,1984,4,26,"R.D. Suttkus & V. Trau",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993",NA,"VALID","","control_1984-1993"
"33",66,"TU","Fish",178358,11,"Carpiodes velifer","Catostomidae",NA,NA,30.77611,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite mouth of Bogalusa Creek.",NA,NA,1996,4,6,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"control","1994-2003",NA,"VALID","","control_1994-2003"
"35",271,"TU","Fish",197719,5,"Carpiodes velifer","Catostomidae",NA,NA,30.76528,-89.83222,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Bogalusa Creek",NA,NA,2004,10,30,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"control","2004-2013",NA,"VALID","","control_2004-2013"
"34",270,"TU","Fish",197711,5,"Carpiodes velifer","Catostomidae",NA,NA,30.77611,-89.82777,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Coburn Creek",NA,NA,2004,10,30,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"control","2004-2013",NA,"VALID","","control_2004-2013"
"13",147,"TU","Fish",48066,9,"Carpiodes velifer","Catostomidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at River Mile 54, 2.3 miles SE of Bogalusa - Fish Stat. #4.",NA,NA,1967,10,4,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973",NA,"VALID","","impact_1964-1973"
"15",155,"TU","Fish",57384,5,"Carpiodes velifer","Catostomidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at River Mile 54; 2.3 mi. SE of Bogalusa - Fish Stat. #4.",NA,NA,1969,5,9,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973",NA,"VALID","","impact_1964-1973"
"16",6,"TU","Fish",79541,16,"Carpiodes velifer","Catostomidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",NA,NA,1972,7,12,"B.A. Thompson & Cashner",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973",NA,"VALID","NOT ALL BUT SOME","impact_1964-1973"
"10",114,"TU","Fish",33237,5,"Carpiodes velifer","Catostomidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River 0.5 mi. downstream from Richardson Landing; 1.5 mi. SE of Bogalusa.",NA,NA,1964,6,11,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973",NA,"VALID","dissecting one from here as it is one of the larger (still relatively very small to the average fish size)","impact_1964-1973"
"11",133,"TU","Fish",38138,15,"Carpiodes velifer","Catostomidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River 0.5 mi. below Richardson Landing, 1.5 mi. SE of Bogalusa.",NA,NA,1965,8,6,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973",NA,"VALID","","impact_1964-1973"
"19",260,"TU","Fish",112555,20,"Carpiodes velifer","Catostomidae",NA,NA,30.74472,-89.82528,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank 1.75 mi. below Richardson Landing.",NA,NA,1979,4,20,"P. Sorensen & S.O. Rohmann",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983",NA,"VALID","Dissecting from here because this is very small, but do-able, and a fairly common size of our selected for lots... if there is nothing in these, it may be wise to choose a different species.","impact_1974-1983"
"22",252,"TU","Fish",152917,22,"Carpiodes velifer","Catostomidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing.",NA,NA,1988,7,21,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993",NA,"VALID","","impact_1984-1993"
"23",253,"TU","Fish",152931,11,"Carpiodes velifer","Catostomidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54.",NA,NA,1988,7,21,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993",NA,"VALID","","impact_1984-1993"
"32",65,"TU","Fish",177831,10,"Carpiodes velifer","Catostomidae",NA,NA,30.74195,-89.82528,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank two bends above River Mile 54.",NA,NA,1996,1,13,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003",NA,"VALID","","impact_1994-2003"
"30",51,"TU","Fish",169777,19,"Carpiodes velifer","Catostomidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing.",NA,NA,1994,4,9,"R.D. Suttkus & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003",NA,"VALID","","impact_1994-2003"
"31",60,"TU","Fish",172558,9,"Carpiodes velifer","Catostomidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54.",NA,NA,1995,1,14,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003",NA,"VALID","","impact_1994-2003"
"36",274,"TU","Fish",198427,11,"Carpiodes velifer","Catostomidae",NA,NA,30.75444,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at 2nd bend below Richardson Ldg.",NA,NA,2005,4,16,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013",NA,"VALID","","impact_2004-2013"
